HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
11082,Aetna Life Insurance Company,AK,N/E,$-,-1188058.34
38344,Premera Blue Cross,AK,5758679.10,11418310.79,4017476.01
73836,Moda Health Plan Inc,AK,8987021.64,-11418310.77,-2026261.96
80049,UnitedHealthcare Insurance Company,AK,N/E,$-,-803155.69
44580,Humana Insurance Company,AL,2298478.10,-13518890.18,$-
44902,Federated Mutual Insurance Company,AL,N/E,$-,-32889.86
46944,Blue Cross and Blue Shield of Alabama,AL,48065429.70,24939398.79,2294842.22
59809,UnitedHealthcare Life Insurance Company,AL,111220.27,-959823.85,$-
68259,"UnitedHealthcare of Alabama, Inc.",AL,8739396.74,-10457177.89,-1064013.58
69461,UnitedHealthcare Insurance Company,AL,N/E,$-,-51436.04
93018,"Viva Health, Inc.",AL,N/E,$-,-1146502.70
93122,Freedom Life Insurance Company of America,AL,0.00,-3506.92,$-
13262,USAble Mutual Insurance Company,AR,N/E,$-,-32736.62
22732,UnitedHealthcare Insurance Company of the River Valley,AR,N/E,$-,56688.96
37903,"Qualchoice Life and Health Insurance Company, INC",AR,5901467.15,6169439.47,-135289.79
53135,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,$-
60079,Coventry Health and Life,AR,0.00,-12964.94,-17774.27
61273,Freedom Life Insurance Company of America,AR,0.00,8241.41,$-
62141,Celtic Insurance Company,AR,4667143.01,-3996497.96,$-
65817,"UnitedHealthcare of Arkansas, Inc.",AR,878465.85,-3066401.15,-602953.44
70525,QCA Health Plan INC,AR,5970119.58,2856187.95,-59363.91
75293,USAble Mutual Insurance Company,AR,37164216.31,-1661548.73,1799059.63
81392,UnitedHealthcare Insurance Company,AR,N/E,$-,-633751.37
89365,Federated Mutual Insurance Company,AR,N/E,$-,-373879.22
99685,Humana Insurance Company,AR,0.00,-106659.16,$-
23307,"Humana Health Plan, Inc.",AZ,2289096.26,6251937.97,-6031056.26
40702,"UnitedHealthcare of Arizona, Inc.",AZ,N/E,$-,-1413358.56
51485,Health Net Life Insurance Company,AZ,2433371.07,5075983.13,6396214.81
53901,Blue Cross Blue Shield of Arizona,AZ,27506938.31,29716531.05,-1968495.77
65441,"Phoenix Health Plans, Inc.",AZ,1783346.46,-32866201.10,$-
66105,Humana Insurance Company,AZ,2656508.48,-1311469.26,-1065223.04
70239,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,$-
70904,WMI Mutual Insurance Company,AZ,N/E,$-,-59130.69
75849,Freedom Life Insurance Company of America,AZ,0.00,-175.68,$-
78611,Aetna Health Inc. (a PA corp.),AZ,1544043.36,-8516682.29,-7293.51
82011,UnitedHealthcare Insurance Company,AZ,N/E,$-,5204264.49
84251,Aetna Life Insurance Company,AZ,0.00,41466.11,1799959.40
86830,Cigna Health and Life Insurance Company,AZ,576234.39,1169118.87,28617.42
90169,UnitedHealthcare Life Insurance Company,AZ,822635.08,-819920.79,$-
91450,"Health Net of Arizona, Inc.",AZ,4433397.90,9901556.20,-2809420.30
97667,"Cigna HealthCare of Arizona, Inc",AZ,1135299.23,-1946342.41,-107879.38
98971,All Savers Insurance Company,AZ,13230750.73,2463235.36,32801.56
10544,Oscar Health Plan of California,CA,270244.26,-4894494.13,$-
18126,Molina Healthcare of California,CA,3087612.70,-106521339.27,$-
20523,Aetna Health of California Inc.,CA,N/E,$-,-30584653.01
27330,Kaiser Permanente Insurance Company,CA,N/E,$-,-331349.12
27603,Blue Cross of California(Anthem BC),CA,210252593.47,49496966.88,216503893.64
37873,UnitedHealthcare Benefits Plan of California,CA,790860.23,425818.57,$-
40025,Cigna Health and Life Insurance Company,CA,7651494.69,6391520.32,$-
40513,"Kaiser Foundation Health Plan, Inc.",CA,99483995.87,-182807948.20,-254946663.78
40733,Aetna Life Insurance Company,CA,N/E,$-,22400144.48
47579,Chinese Community Health Plan,CA,2031826.13,-24844080.41,-2248025.07
49116,UHC of California,CA,N/E,$-,-15840917.19
56887,Ventura County Health Care Plan,CA,N/E,$-,274684.29
64210,Sutter Health Plan,CA,404789.48,52744.83,-12698603.21
64618,National Health Insurance Company,CA,N/E,$-,270905.91
67138,"Health Net of California, Inc.",CA,24670172.12,-53862013.99,-41807057.69
70285,CA Physician's Service dba Blue Shield of CA,CA,200597192.85,265442825.10,105943814.59
84014,Valley Health Plan,CA,315872.69,-2983496.65,$-
92499,Sharp Health Plan,CA,6648728.33,5351707.64,-9546508.28
92815,Local Initiative Health Authority for Los Angeles County,CA,24557.63,-12354890.24,$-
93689,Western Health Advantage,CA,3454688.21,-4446832.83,2191329.00
95677,UnitedHealthcare Insurance Company,CA,N/E,$-,-6770926.79
99110,Health Net Life Insurance Company,CA,23086888.56,65553512.41,27189932.09
21032,Kaiser Foundation Health Plan of Colorado,CO,16419013.45,-59023683.88,-3316114.09
28700,Freedom Life Insurance Company of America,CO,189050.16,530940.43,$-
35944,Kaiser Permanente Insurance Company,CO,N/E,$-,-169078.93
39041,Aetna Life Insurance Company,CO,N/E,$-,-394940.49
41341,Golden Rule Insurance Company,CO,798771.78,-2721557.27,$-
49375,Cigna Health and Life Insurance Company,CO,6707081.89,1238103.55,$-
59036,"UnitedHealthcare of Colorado, Inc.",CO,1537280.69,6746077.39,-8152391.81
63312,Colorado Choice Health Plans,CO,3886517.25,-2794252.54,28711.53
66699,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,$-
