,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL NONCATASTROPHIC RISK POOL),HHS RISK ADJUSTMENT TRANSFER AMOUNT (CATASTROPHIC RISK POOL),HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP RISK POOL)
0,11082,"Aetna, Inc.",AK,$-,$-,"$70,609.53"
1,38344,Premera Blue Cross,AK,$0.00,$-,"$1,615,253.34"
2,73836,"Moda Health Plan, Inc.",AK,$-,$-,"($744,336.01)"
3,80049,"UnitedHealth Group, Inc.",AK,$-,$-,"($941,526.90)"
4,46944,Blue Cross Blue Shield of Alabama,AL,"($172,651.78)",$0.00,"$1,662,986.37"
5,68259,"UnitedHealth Group, Inc.",AL,"$172,651.77",$-,"($1,698,227.57)"
6,69461,"UnitedHealth Group, Inc.",AL,$-,$-,"$737,981.76"
7,93018,"Viva Health, Inc.",AL,$-,$-,"($702,740.49)"
8,13262,Arkansas Blue Cross and Blue Shield,AR,$-,$-,"($251,058.68)"
9,22732,"UnitedHealth Group, Inc.",AR,$-,$-,"($815,079.73)"
10,37903,QualChoice Arkansas,AR,"($5,733,419.10)",$-,"($69,936.67)"
11,60079,"Aetna, Inc.",AR,"($2,159.13)",$-,$-
12,62141,Centene Corporation,AR,"($15,559,654.63)",$-,$-
13,65817,"UnitedHealth Group, Inc.",AR,"$40,617.57",$-,"($102,649.81)"
14,70525,QualChoice Arkansas,AR,"$1,885,571.16","($24,504.01)","$86,895.32"
15,75293,Arkansas Blue Cross and Blue Shield,AR,"$19,369,044.15","$24,504.00","$1,570,738.41"
16,81392,"UnitedHealth Group, Inc.",AR,$-,$-,"($260,744.68)"
17,89365,Federated Mutual,AR,$-,$-,"($158,164.22)"
18,23307,"Humana, Inc.",AZ,$-,$-,"($5,736,667.03)"
19,40702,"UnitedHealth Group, Inc.",AZ,$-,$-,"($5,694,852.10)"
20,51485,Centene Corporation,AZ,$-,$-,"($1,365,785.00)"
21,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,"($36,394,767.43)",$0.00,"($3,329,219.82)"
22,66105,"Humana, Inc.",AZ,"$5,133.15",$-,"($302,647.69)"
23,70904,WMI Mutual Insurance Company,AZ,$-,$-,"($36,649.03)"
24,78611,"Aetna, Inc.",AZ,"$2,317,108.78",$-,"($33,786.35)"
25,82011,"UnitedHealth Group, Inc.",AZ,$-,$-,"$14,363,165.23"
26,84251,"Aetna, Inc.",AZ,$-,$-,"$2,467,840.53"
27,86830,Cigna,AZ,"$13,317,786.40",$-,"$52,403.83"
28,91450,Centene Corporation,AZ,"$24,347,486.57",$-,"($558,508.96)"
29,97667,Cigna,AZ,"($3,909,461.51)",$-,"($66,654.76)"
30,98971,"UnitedHealth Group, Inc.",AZ,"$316,714.04",$-,"$241,361.02"
31,10544,Oscar Health,CA,"($4,276,703.19)","($119,250.41)",$-
32,18126,Molina Healthcare,CA,"($227,378,843.71)","($128,550.50)",$-
33,20523,"Aetna, Inc.",CA,$-,$-,"$2,437,860.40"
34,27330,Kaiser Permanente,CA,$-,$-,"($523,926.40)"
35,27603,"Anthem, Inc.",CA,"$18,476,551.48","($1,694,816.50)","$198,601,589.47"
36,40025,Cigna,CA,"$6,181,173.26",$-,$-
37,40513,Kaiser Permanente,CA,"($253,147,852.38)","($1,662,170.69)","($311,731,053.55)"
38,40733,"Aetna, Inc.",CA,$-,$-,"$21,185,692.35"
39,47579,Chinese Community Health Plan,CA,"($25,477,134.14)","($4,586.12)","($1,737,995.17)"
40,49116,"UnitedHealth Group, Inc.",CA,$-,$-,"($40,892,493.33)"
41,56887,Ventura County Health Care Plan,CA,$-,$-,"$558,472.42"
42,64210,Sutter Health Plan,CA,"($7,713.66)",$-,"($19,257,662.02)"
43,64618,National Health Insurance Company,CA,$-,$-,"$19,746.83"
44,67138,Centene Corporation,CA,"($56,491,988.14)","($90,404.10)","($9,976,610.01)"
45,70285,Blue Shield of California,CA,"$556,165,717.71","$4,059,990.65","$136,139,531.69"
46,84014,County of Santa Clara,CA,"($10,854,815.92)","($150,253.26)",$-
47,92499,Sharp Health Plan,CA,"($3,299,537.36)","($456,689.85)","($11,404,274.30)"
48,92815,Local Initiative Health Authority for Los Angeles County,CA,"($33,305,153.65)","($41,941.79)",$-
49,93689,Western Health Advantage,CA,"($7,452,235.61)","($79,493.56)","$1,519,812.34"
50,95677,"UnitedHealth Group, Inc.",CA,$-,$-,"$11,101,755.16"
51,99110,Centene Corporation,CA,"$40,868,535.39","$368,166.09","$23,959,554.19"
52,21032,Kaiser Permanente,CO,"($64,337,584.65)","($529,642.62)","($18,516,295.44)"
53,28700,US Health Group,CO,"$704,700.87",$-,$-
54,31070,Bright Health Insurance Company,CO,"($6,192,240.81)","($1,444,024.58)",$-
55,35944,Kaiser Permanente,CO,$-,$-,"($15,867.55)"
56,39041,"Aetna, Inc.",CO,$-,$-,"$651,309.42"
57,41341,"UnitedHealth Group, Inc.",CO,"$513,309.23","$664,572.71",$-
58,49375,Cigna,CO,"$22,551,799.25",$-,$-
59,59036,"UnitedHealth Group, Inc.",CO,($409.55),$-,"($10,897,579.97)"
60,63312,Colorado Choice Health Plans,CO,"$3,997,526.46","$295,544.01","($89,723.86)"
61,66699,"Denver Health Medical Plan, Inc.",CO,"$7,486,694.78",$-,$-
62,67879,"UnitedHealth Group, Inc.",CO,$-,$-,"$27,813,071.36"
63,74320,"Humana, Inc.",CO,"$10,898.81",$-,"$1,299,220.37"
64,76680,"Anthem, Inc.",CO,"$30,992,082.99","($1,516,774.26)","($9,609,395.96)"
65,79509,"Humana, Inc.",CO,$-,$-,"$627,794.57"
66,80208,Rocky Mountain Health Care Options,CO,$-,$-,"$440,238.50"
67,87269,"Anthem, Inc.",CO,"$841,186.64","$2,530,324.80","$10,886,278.11"
68,97879,Rocky Mountain Health Care Options,CO,"$3,432,035.89",$-,"($2,589,049.52)"
69,29462,"UnitedHealth Group, Inc.",CT,$-,$-,"$4,912,295.94"
70,39159,"Aetna, Inc.",CT,"$956,418.14",$-,"$5,859,129.11"
71,40591,"UnitedHealth Group, Inc.",CT,"($8,237.12)","($11,624.14)",$-
72,49650,"UnitedHealth Group, Inc.",CT,$-,$-,"$423,792.00"
