HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
11082,Aetna Life Insurance Company,AK,120363.61,-52362.57,22831.39
62637,John Alden Life Insurance Company,AK,N/A,N/A,78962.62
73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,24371
38344,Premera Blue Cross Blue Shield of Alaska,AK,19984669.96,5782175.12,-119931.53
38596,Time Insurance Company,AK,1558728.91,-922848.49,-317715.76
80049,UnitedHealthcare Insurance Company,AK,N/A,N/A,311482.27
42159,All Savers Insurance Company,AL,N/A,N/A,-2634.74
46944,Blue Cross and Blue Shield of Alabama,AL,97314734.65,993113.39,1551403.36
44902,Federated Mutual Insurance Company,AL,N/A,N/A,-7318.77
93122,Freedom Life Insurance,AL,107806.57,26222.47,N/A
44580,Humana Insurance Company,AL,3343273.21,-983926.61,N/A
49771,John Alden Life Insurance Company,AL,N/A,N/A,9879.88
13939,Time Insurance Company,AL,661562.99,-35409.21,11262.04
69461,UnitedHealthcare Insurance Company,AL,N/A,N/A,206168.06
59809,UnitedHealthcare Life Insurance Company,AL,N/A,N/A,4588.49
68259,"UnitedHealthcare of Alabama, Inc.",AL,N/A,N/A,-59273.72
93018,VIVA Health,AL,N/A,N/A,-1714074.57
62141,Celtic Insurance Company,AR,6888210.15,-8621410.48,N/A
60079,Coventry Health and Life,AR,0,-4414.54,-44702.7
89365,Federated Mutual Insurance Company,AR,N/A,N/A,-55065.97
61273,Freedom Life Insurance,AR,0,-3621.42,N/A
13262,"HMO Partners, Inc.",AR,N/A,N/A,210345
99685,Humana Insurance Company,AR,4723.94,68170.5,27385.89
51826,John Alden Life Insurance Company,AR,N/A,N/A,-15335.35
70525,"QCA Health Plan, Inc.",AR,4262438.76,-5943287.09,-55681.1
37903,"QualChoice Life & Health Insurance Company, Inc.",AR,N/A,N/A,-83211.31
30991,Time Insurance Company,AR,2304205.03,-2043.49,-50048.48
22732,UnitedHealthcare Ins Co of River Valley,AR,N/A,N/A,-590630.26
81392,UnitedHealthcare Insurance Company,AR,N/A,N/A,387592.55
53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,N/A
65817,"UnitedHealthcare of Arkansas, Inc.",AR,N/A,N/A,-112065.94
75293,USAble Mutual Insurance Company,AR,64727145.97,14435474.74,381417.67
78611,Aetna Health Inc. (a PA corp.),AZ,N/A,N/A,324131.01
84251,Aetna Life Insurance Company,AZ,3503089.05,-437141.1,-3375392.32
98971,All Savers Insurance Company,AZ,N/A,N/A,-8390.44
53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,43210443.35,14331092.97,1494667.03
86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,-24005.57
75849,Freedom Life Insurance,AZ,68741.8,1902.67,N/A
70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,N/A
51485,Health Net Life Insurance Company,AZ,39878281.54,469.35,335791.07
91450,"Health Net of Arizona, Inc.",AZ,26048764.45,-26088803.1,-2284176.05
23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.9,-750038.97
66105,Humana Insurance Company,AZ,1328793.1,1164384.91,27209.69
73893,John Alden Life Insurance Company,AZ,N/A,N/A,700477.89
23029,Madison National Life,AZ,N/A,N/A,-4301.51
60761,Meritus Health Partners,AZ,1958734.84,2073821.34,-29408.53
92045,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89
59096,Standard Security Life,AZ,N/A,N/A,-615.14
80863,Time Insurance Company,AZ,13874351.63,5883719.72,784218.43
82011,UnitedHealthcare Insurance Company,AZ,N/A,N/A,2961325.69
90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,N/A
40702,"UnitedHealthcare of Arizona, Inc.",AZ,N/A,N/A,-139332.36
88925,"University of Arizona Health Plans-University Healthcare, Inc.",AZ,292653.92,858090.36,N/A
20523,Aetna Health of California Inc.,CA,N/A,N/A,-23489767.02
40733,Aetna Life Insurance Company,CA,N/A,N/A,-1519853.96
27603,Blue Cross of California(Anthem BC),CA,401126393.3,-181692588,23364909.92
70285,CA Physician's Service dba Blue Shield of CA,CA,363050264.5,135212707.6,13755875.29
47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,-3067299.35
40025,Cigna Health and Life Insurance Company,CA,21440171.45,17743436.54,N/A
99483,Contra Costa Health Plan,CA,2293366.91,1753287.86,N/A
84014,County of Santa Clara,CA,440556.13,-318460.38,N/A
56887,"County of Ventura, dba Ventura County Health Care Plan",CA,N/A,N/A,500462.21
99110,Health Net Life Insurance Company,CA,96305759.81,53801059.26,-1149328.11
67138,"Health Net of California, Inc.",CA,48731305.15,-100186993.9,-3718209.96
68744,Humana Insurance Company,CA,N/A,N/A,8197.35
40513,"Kaiser Foundation Health Plan, Inc.",CA,240031290.8,98811448.39,-6119361.66
27330,Kaiser Permanente Insurance Company,CA,N/A,N/A,-178446.96
92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,N/A
18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,N/A
92499,Sharp Health Plan,CA,10986209.85,10432568.53,-953791.37
64198,Time Insurance Company,CA,45901082.37,19393416.27,N/A
35305,Trustmark Life Insurance Company,CA,N/A,N/A,-132284.52
49116,UHC of California,CA,N/A,N/A,-2215283.01
95677,UnitedHealthcare Insurance Company,CA,N/A,N/A,4029609.65
93689,Western Health Advantage,CA,5847162.74,2576272.04,884571.67
92137,All Savers Insurance Company,CO,547719.39,481970.65,N/A
49375,Cigna Health and Life Insurance Company,CO,10847936.42,10208969.51,N/A
63312,Colorado Choice Health Plans,CO,6252605.7,-4578461.04,-534596.16
20472,"Colorado Health Insurance Cooperative, Inc.",CO,19571825.5,-4393875.95,-97502.97
66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,N/A
76680,"HMO Colorado, Inc., dba HMO Nevada",CO,12493994.43,261875.8,-860371.91
74320,Humana Health Plan,CO,8822154.98,4731745.94,-2841602.51
79509,Humana Insurance Company,CO,1268061.73,1264744.68,139778.65
21032,Kaiser Foundation Health Plan of Colo.,CO,26956984.91,-33664830.89,-3582183.17
35944,Kaiser Permanente Insurance Company,CO,N/A,N/A,-49499.07
11555,New Health Ventures Inc.,CO,205000,99152.72,N/A
80208,Rocky Mountain Health Care Options,CO,N/A,N/A,404793.25
97879,Rocky Mountain HMO,CO,54104079.51,13887675.22,-16089.07
87269,"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",CO,N/A,N/A,2272512.47
39060,Time Insurance Company,CO,16138881.92,9288648.71,N/A
67879,UnitedHealthcare Insurance Company,CO,N/A,N/A,3694826.77
59036,"UnitedHealthcare of Colorado, Inc.",CO,N/A,N/A,1469933.76
39159,Aetna Life Insurance Company,CT,5454083.6,2822391.74,2719970.89
86545,Anthem Health Plans Inc. (Anthem BCBS),CT,53879332.07,13893512.78,1456630.51
74684,Celtic Insurance Company**,CT,0,-376.51,N/A
87354,Cigna Health and Life Insurance Company**,CT,1443523.59,-45977.45,N/A
76962,"ConnectiCare Benefits, Inc. **",CT,22088564.32,-6289036.98,N/A
94815,"ConnectiCare Insurance Company, Inc. **",CT,13127918.24,-10948959.34,-7957364.87
75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,72069.21
95882,"Harvard Pilgrim Health Care of Connecticut, Inc. **",CT,N/A,N/A,9449.37
91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,-532743.6
89130,"HPHC Insurance Company, Inc. **",CT,N/A,N/A,-130325.86
29462,"Oxford Health Insurance, Inc. **",CT,N/A,N/A,4715438.4
71179,"Oxford Health Plans (CT), Inc. **",CT,N/A,N/A,-86030.15
86542,Time Insurance Company**,CT,2907270.19,1253125.49,N/A
49650,UnitedHealthcare Insurance Company,CT,N/A,N/A,-267093.84
73987,Aetna Health Inc. (a PA corp.),DC,N/A,N/A,-239619.32
77422,Aetna Life Insurance Company,DC,0,-45424.71,400712.47
86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,-6732251.48
78079,GHMSI,DC,2071230.11,1803989.23,8238082.97
94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,-1598160.33
75753,"Optimum Choice, Inc.",DC,N/A,N/A,186718.46
41842,UnitedHealthcare Insurance Company,DC,N/A,N/A,-255482.82
67190,Aetna Health Inc. (a PA corp.),DE,N/A,N/A,12382.86
29497,Aetna Life Insurance Company,DE,290104.21,-357373.55,-77166.51
13537,Coventry Health and Life,DE,437178.28,3410.6,N/A
81914,"Coventry Health Care of Delaware, Inc.",DE,628973.12,-427183.66,235718.45
76168,Highmark BCBSD Inc.,DE,17745845.52,727926,-438027.53
78960,John Alden Life Insurance Company,DE,N/A,N/A,-2542.01
97569,"Optimum Choice, Inc.",DE,N/A,N/A,-45756.59
97889,Time Insurance Company,DE,512544.5,53220.61,-4709.65
61021,UnitedHealthcare Insurance Company,DE,N/A,N/A,320100.97
18628,Aetna Health Inc. (a FL corp.),FL,1205126.79,-525058.02,389940.41
23841,Aetna Life Insurance Company,FL,32190446.23,20415906.73,1330151.83
42204,All Savers Insurance Company,FL,N/A,N/A,31520.79
19898,"AvMed, Inc.",FL,1841557.61,1215541.75,-3118661.5
16842,Blue Cross and Blue Shield of Florida,FL,265367761.3,221628751.9,4537166.63
66966,Capital Health Plan,FL,N/A,N/A,635267.48
21663,Celtic Insurance Company,FL,14820.41,143355.7,N/A
48121,Cigna Health and Life Insurance Company,FL,75559934.98,39512510.93,N/A
76089,Coventry Health and Life Insurance Co.,FL,N/A,N/A,107518.39
57451,"Coventry Health Care of Florida, Inc.",FL,63556095.78,-160958367.1,90797.9
92120,"Coventry Health Plan of Florida, Inc.",FL,1838893.01,824165.75,N/A
56503,"Florida Health Care Plan, Inc.",FL,3957217.77,4718787.44,-69476.1
40442,Freedom Life Insurance,FL,197590.16,34088.7,N/A
27357,"Health First Health Plans, Inc.",FL,N/A,N/A,-761118.31
77150,"Health First Insurance, Inc.",FL,1475534.84,-723613.84,-391901.29
30252,"Health Options, Inc.",FL,61800974.07,32115302.73,-1315788.63
99308,"Humana Health Insurance Co of FL, Inc.",FL,547055.66,185940.22,-116650.43
15980,Humana Insurance Company,FL,525858,483961.79,N/A
35783,"Humana Medical Plan, Inc.",FL,119899412.3,-80860989.32,-6552473.44
41240,John Alden Life Insurance Company,FL,N/A,N/A,-890.28
54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,N/A
80779,"Neighborhood Health Partnership, Inc.",FL,N/A,N/A,-171191.73
51398,"Preferred Medical Plan, Inc.",FL,19151683.89,-97122695.74,N/A
86382,Sunshine State Health Plan,FL,0,-198355.63,N/A
62662,Time Insurance Company,FL,24416837.37,11930582.36,-119621.8
43839,UnitedHealthcare Insurance Company,FL,N/A,N/A,3844812.86
17341,UnitedHealthcare Life Insurance Company,FL,7942642.06,6516021.26,N/A
68398,"UnitedHealthcare of Florida, Inc.",FL,N/A,N/A,1650597.6
82824,Aetna Health Inc. (a GA corp.),GA,N/A,N/A,-1390717.91
83978,Aetna Life Insurance Company,GA,2623982.14,-500123.69,-3143639.65
83761,Alliant Health Plans,GA,7265449.74,2745962.25,-1464662.42
82894,"Athens Area Health Plan Select, Inc.",GA,N/A,N/A,-637297.59
63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,N/A,N/A,1729140.2
49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,34663581.85,-3958982.3,2304375.99
24775,Celtic Insurance Company,GA,0,7411.32,N/A
50491,Cigna Health and Life Insurance Company,GA,3655883.02,3395529.35,N/A
65890,Coventry Health and Life,GA,N/A,N/A,-4418.49
47783,"Coventry Health Care of Georgia, Inc.",GA,3255942.16,-3608858.91,2304241.03
38835,Federated Mutual Insurance Company,GA,N/A,N/A,-55911.28
72796,Freedom Life Insurance,GA,0,-212.84,N/A
93332,"Humana Employers Health Plan of Georgia, Inc.",GA,194926953.8,64808.72,-6158.42
37001,Humana Insurance Company,GA,1866817.18,2184957.04,721767.42
50313,John Alden Life Insurance Company,GA,N/A,N/A,159888.81
89942,Kaiser Foundation Health Plan of Georgia,GA,7879843.09,-745460.89,-2820212.21
82302,Kaiser Permanente Insurance Company,GA,N/A,N/A,-14361.39
12442,Nippon Life Insurance Company of America,GA,N/A,N/A,-113027.35
45495,Peach State Health Plan,GA,752278.28,-3689629.38,N/A
20544,Time Insurance Company,GA,8301134.79,4104599.26,462396.82
30552,UnitedHealthcare Ins Co of River Valley,GA,N/A,N/A,-510878.36
13535,UnitedHealthcare Insurance Company,GA,N/A,N/A,2602799.56
43802,"UnitedHealthcare of Georgia, Inc.",GA,N/A,N/A,-123324.74
14479,Family Health Hawaii mbs,HI,N/A,N/A,-541621.36
56682,Hawaii Medical Assurance Association,HI,N/A,N/A,-213033.45
18350,Hawaii Medical Service Association,HI,13001803.35,10430372.28,5740424.58
60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,-4366914.44
54179,UnitedHealthcare Insurance Company,HI,N/A,N/A,1398.35
95366,University Health Alliance (UHA),HI,N/A,N/A,-620253.71
74980,"Avera Health Plans, Inc.",IA,37384.36,-46538.07,-8630.65
87194,Celtic Insurance Company,IA,0,-1222.36,N/A
71268,CoOportunity Health,IA,24918368.43,7585020.87,-3442183.75
51820,Coventry Health and Life Insurance Co.,IA,N/A,N/A,-19282.26
18973,Coventry Health Care of Iowa Inc.,IA,13395052.4,-9236606.28,-142786.86
41397,Federated Mutual Insurance Company,IA,N/A,N/A,-24092.66
27651,"Gundersen Health Plan, Inc.",IA,97464.02,-19844.29,-46725.06
